GENE	BF
APOBEC3H	-3.023
APOBEC4	-4.257
APOBR	-2.094
APOC1	-1.640
APOC2	-7.073
APOC3	-1.743
APOC4	-9.692
APOD	-6.195
APOE	-6.185
APOF	-3.194
APOH	-7.812
APOL1	-7.541
APOL2	-5.886
APOL3	-2.132
APOL4	-6.124
APOL5	-4.185
APOL6	-6.532
APOLD1	-8.485
APOM	-7.339
APOO	-9.191
APOOL	-9.905
APP	-9.671
APPBP2	-8.583
APPL1	-5.745
APPL2	-2.123
APRT	-4.032
APTX	-5.036
AQP1	-5.814
AQP10	-5.841
AQP11	-7.590
AQP12A	-7.063
AQP12B	3.401
AQP2	-10.514
AQP3	-5.683
AQP4	-6.239
AQP5	-6.365
AQP6	-6.779
AQP7	-5.983
AQP8	-2.682
AQP9	-7.713
AQR	15.266
AR	-4.845
ARAF	-7.394
ARAP1	-9.271
ARAP2	-6.771
ARAP3	-8.691
ARC	-12.205
ARCN1	10.734
AREG	-7.673
AREL1	-10.689
ARF1	11.872
ARF3	-7.416
ARF4	-3.306
ARF5	-7.133
ARF6	-8.091
ARFGAP1	-10.656
ARFGAP2	-2.659
ARFGAP3	-6.579
ARFGEF1	-5.577
ARFGEF2	2.302
ARFGEF3	-6.714
ARFIP1	-15.660
ARFIP2	-3.639
ARFRP1	5.512
ARG1	-4.848
ARG2	-8.408
ARGFX	-6.877
ARGLU1	-2.679
ARHGAP1	-5.724
ARHGAP10	-4.267
ARHGAP11A	-5.323
ARHGAP11B	-3.199
ARHGAP12	-6.537
ARHGAP15	-8.574
ARHGAP17	-8.708
ARHGAP18	-8.252
ARHGAP19	-6.279
ARHGAP20	-4.563
ARHGAP21	-9.757
ARHGAP22	-6.050
ARHGAP23	-5.581
ARHGAP24	-3.506
ARHGAP25	-12.991
ARHGAP26	-5.927
ARHGAP27	1.120
ARHGAP28	-6.907
ARHGAP29	-11.000
ARHGAP30	-2.389
ARHGAP31	-6.574
ARHGAP32	-4.546
ARHGAP33	-8.554
ARHGAP35	-6.286
ARHGAP36	-5.679
ARHGAP39	-7.822
ARHGAP4	-5.096
ARHGAP40	-6.411
ARHGAP42	-8.353
ARHGAP44	-8.189
ARHGAP45	-5.687
ARHGAP5	-2.680
ARHGAP6	-10.350
ARHGAP8	-7.644
ARHGAP9	-7.337
ARHGDIA	-11.607
ARHGDIB	-5.477
ARHGDIG	-10.768
ARHGEF1	-4.232
ARHGEF10	-0.061
ARHGEF10L	-6.400
ARHGEF11	-6.434
ARHGEF12	-7.493
ARHGEF15	-7.184
ARHGEF16	-0.917
ARHGEF17	-8.763
ARHGEF18	-6.203
ARHGEF19	-5.337
