GENE	BF
APOO	-15.239
APOOL	-22.106
APP	-27.841
APPBP2	-16.366
APPL1	-15.031
APPL2	-13.964
APRT	-10.147
APTX	-22.591
AQP1	-16.777
AQP10	-13.093
AQP11	-20.971
AQP12A	-20.030
AQP12B	-12.394
AQP2	-20.779
AQP3	-17.965
AQP4	-22.652
AQP5	-17.667
AQP6	-12.808
AQP7	-17.450
AQP8	-11.154
AQP9	-14.177
AQR	37.802
AR	-18.638
ARAF	-11.764
ARAP1	-24.189
ARAP2	-17.772
ARAP3	-20.849
ARC	-22.898
ARCN1	18.705
AREG	-26.239
AREL1	-25.569
ARF1	37.899
ARF3	-29.716
ARF4	-14.834
ARF5	-25.575
ARF6	-8.747
ARFGAP1	-17.486
ARFGAP2	-14.302
ARFGAP3	-12.642
ARFGEF1	-21.625
ARFGEF2	6.007
ARFGEF3	-18.117
ARFIP1	-27.134
ARFIP2	-13.326
ARFRP1	7.794
ARG1	-21.670
ARG2	-23.115
ARGFX	-10.803
ARGLU1	-1.798
ARHGAP1	-19.049
ARHGAP10	-16.771
ARHGAP11A	-16.157
ARHGAP11B	-1.655
ARHGAP12	-10.850
ARHGAP15	-19.815
ARHGAP17	-27.621
ARHGAP18	-25.961
ARHGAP19	-5.831
ARHGAP20	-19.449
ARHGAP21	-24.644
ARHGAP22	-15.821
ARHGAP23	-16.632
ARHGAP24	-13.534
ARHGAP25	-24.890
ARHGAP26	-15.476
ARHGAP27	1.424
ARHGAP28	-15.945
ARHGAP29	-18.764
ARHGAP30	-12.186
ARHGAP31	-22.210
ARHGAP32	-12.707
ARHGAP33	-10.976
ARHGAP35	-9.054
ARHGAP36	-18.268
ARHGAP39	-21.237
ARHGAP4	-12.047
ARHGAP40	-12.813
ARHGAP42	-15.734
ARHGAP44	-15.407
ARHGAP45	-16.000
ARHGAP5	-9.490
ARHGAP6	-25.164
ARHGAP8	-23.031
ARHGAP9	-15.059
ARHGDIA	-24.182
ARHGDIB	-11.657
ARHGDIG	-27.560
ARHGEF1	-19.633
ARHGEF10	-16.285
ARHGEF10L	-13.919
ARHGEF11	-23.842
ARHGEF12	-16.876
ARHGEF15	-21.033
ARHGEF16	-10.046
ARHGEF17	-22.175
ARHGEF18	-21.835
ARHGEF19	-13.318
ARHGEF2	-14.630
ARHGEF25	-21.600
ARHGEF26	-9.837
ARHGEF28	-16.835
ARHGEF3	-18.732
ARHGEF33	-21.303
ARHGEF35	-4.661
ARHGEF37	-12.152
ARHGEF38	-23.505
ARHGEF39	-23.119
ARHGEF4	-24.737
ARHGEF40	-22.415
ARHGEF5	-8.752
ARHGEF6	-23.471
ARHGEF7	-11.433
ARHGEF9	-21.839
ARID1A	-13.986
ARID1B	-16.893
ARID2	-18.254
ARID3A	-17.949
ARID3B	-14.222
ARID3C	-21.367
ARID4A	-24.524
ARID4B	-6.602
ARID5A	-21.909
ARID5B	-17.341
ARIH1	12.238
ARIH2	-26.151
ARIH2OS	-8.665
ARL1	-15.502
ARL10	-11.943
ARL11	-18.793
ARL13A	-8.510
ARL13B	-16.195
ARL14	-22.436
ARL14EP	-19.558
ARL14EPL	-10.290
ARL15	-23.451
ARL16	-7.001
ARL17A	-7.600
ARL17B	-16.513
ARL2	-4.473
ARL2BP	-22.457
ARL3	-18.257
ARL4A	-16.554
ARL4C	-15.667
ARL4D	-4.691
ARL5A	-21.605
ARL5B	-11.431
ARL5C	-8.500
ARL6	-18.951
ARL6IP1	-16.949
ARL6IP4	-21.996
ARL6IP5	-23.102
ARL6IP6	-7.968
ARL8A	-4.273
ARL8B	-19.250
ARL9	-16.988
ARMC1	-17.235
ARMC10	-10.240
ARMC12	-18.308
ARMC2	-17.147
ARMC3	-18.799
ARMC4	-25.455
ARMC5	-4.106
ARMC6	-8.038
ARMC7	20.260
ARMC8	-12.926
ARMC9	-20.614
ARMCX1	-18.563
ARMCX2	-20.672
ARMCX3	-24.968
ARMCX4	-7.789
ARMCX5	-17.114
ARMCX6	-17.379
ARMH1	-17.799
ARMH2	-13.456
ARMH3	-8.825
ARMH4	-9.665
ARMS2	-15.718
ARMT1	-25.082
ARNT	8.915
ARNT2	-16.590
ARNTL	-19.374
ARNTL2	-28.120
ARPC1A	-2.581
ARPC1B	-21.594
ARPC2	-5.674
ARPC3	-15.626
ARPC4	7.131
ARPC5	-12.279
ARPC5L	-15.725
ARPIN	-17.529
ARPP19	-5.034
ARPP21	-33.470
ARR3	-24.468
ARRB1	-21.469
ARRB2	-25.471
ARRDC1	2.112
ARRDC2	-14.251
ARRDC3	-8.951
ARRDC4	-25.187
ARRDC5	-17.240
ARSA	-3.735
ARSB	-15.374
ARSD	-21.916
ARSF	-16.908
ARSG	-11.358
ARSH	-19.449
ARSI	-6.882
ARSJ	-16.145
ARSK	-19.709
ARSL	-17.346
ART1	-10.422
ART3	-14.868
ART4	-25.128
ART5	-15.943
ARTN	-16.594
ARV1	-32.364
ARVCF	-12.938
ARX	-24.817
AS3MT	-17.683
ASAH1	-26.697
ASAH2	-10.695
ASAH2B	-18.032
ASAP1	-18.635
ASAP2	-22.460
ASAP3	-18.196
ASB1	-22.942
ASB10	-24.723
ASB11	-15.411
ASB12	-11.843
ASB13	-11.255
ASB14	-23.757
ASB15	-15.073
ASB16	-14.791
ASB17	-15.068
ASB18	-23.892
ASB2	-18.498
ASB3	-27.882
ASB4	-13.857
ASB5	-19.092
ASB6	-12.263
ASB7	-28.485
ASB8	-13.274
ASB9	-20.101
ASCC1	-16.785
ASCC2	-11.074
ASCC3	-10.357
ASCL1	9.352
ASCL2	-19.512
ASCL3	-22.288
ASCL4	-16.957
ASCL5	-16.961
ASF1A	-3.533
ASF1B	-20.620
ASGR1	-23.021
ASGR2	-16.432
ASH1L	-14.804
ASH2L	6.052
ASIC1	-22.904
ASIC2	-15.660
ASIC3	-15.389
ASIC4	-20.400
ASIC5	-20.083
ASIP	-10.823
ASL	-6.564
ASMT	-11.408
ASMTL	-22.813
ASNS	-21.182
ASNSD1	-16.207
ASPA	-18.217
ASPDH	-30.638
ASPG	-10.529
ASPH	-28.174
ASPHD1	-19.280
ASPHD2	-12.757
ASPM	-4.392
ASPN	-15.570
ASPRV1	-18.170
ASPSCR1	-16.504
ASRGL1	-17.124
ASS1	-17.837
ASTE1	-21.466
ASTL	-19.417
ASTN1	-26.052
ASTN2	-20.774
ASXL1	-9.104
ASXL2	-23.159
ASXL3	-13.229
ASZ1	-8.817
ATAD1	-19.820
ATAD2	-16.461
ATAD2B	-24.521
ATAD3A	-11.160
ATAD3B	-18.802
ATAD3C	-7.005
ATAD5	5.212
ATAT1	-14.055
ATCAY	-11.877
ATE1	-15.356
ATF1	-25.030
ATF2	-23.017
ATF3	-18.830
ATF4	-7.692
ATF5	-21.096
ATF6	-18.937
ATF6B	-23.322
ATF7	-16.699
ATF7IP	-20.995
ATF7IP2	-16.740
ATG10	-18.900
ATG101	-16.401
ATG12	-18.486
ATG13	-12.216
ATG14	-14.818
ATG16L1	-22.774
ATG16L2	-13.705
ATG2A	-10.045
ATG2B	-23.147
ATG3	-10.092
ATG4A	-8.899
ATG4B	-30.636
ATG4C	-23.036
ATG4D	-20.106
ATG5	-19.453
ATG7	-18.813
ATG9A	-10.452
ATG9B	-14.767
ATIC	40.256
ATL1	-24.518
ATL2	-2.895
ATL3	-19.526
ATM	-30.425
ATMIN	13.937
ATN1	-12.359
ATOH1	-20.507
ATOH7	-13.701
ATOH8	-11.611
ATOX1	-26.205
ATP10A	-15.427
ATP10B	-16.631
ATP10D	-15.985
ATP11A	-13.250
ATP11B	-17.051
ATP11C	-9.376
ATP12A	-11.941
ATP13A1	-16.309
ATP13A2	-23.785
ATP13A3	-6.527
ATP13A4	-22.388
ATP13A5	-21.179
ATP1A1	-7.220
ATP1A2	-15.590
ATP1A3	-16.494
ATP1A4	-12.645
ATP1B1	-18.551
ATP1B2	-15.310
ATP1B3	-15.420
ATP1B4	-24.178
ATP23	-4.103
ATP2A1	-23.034
ATP2A2	32.971
ATP2A3	-6.742
ATP2B1	-23.061
ATP2B2	-15.081
ATP2B3	-11.247
ATP2B4	-15.785
ATP2C1	-24.782
ATP2C2	-21.529
ATP4A	-25.109
ATP4B	-30.307
ATP5F1A	19.046
ATP5F1B	45.432
ATP5F1C	-10.825
ATP5F1D	2.688
ATP5F1E	31.010
ATP5IF1	-18.080
ATP5MC1	-16.018
ATP5MC2	-10.527
ATP5MC3	-15.520
ATP5MD	-27.414
ATP5ME	-5.668
ATP5MF	27.980
ATP5MG	-5.721
ATP5MGL	-16.694
