PSMB10,-0.001545693
KIRREL1,-0.010980094
AHCYL1,-0.000577202
CBL,-0.001344984
DDIT4,-0.00101321
OTUD7B,-0.001586395
FITM2,-0.006145675
EHMT1,-0.000556859
CTBS,-0.001837739
TENT4A,-0.000571722
SLC4A4,-0.001249124
CRIP2,-0.001200854
ZNF451,-0.00068777
SLC12A6,-0.00095373
NCOA1,-0.00093513
SPATA31E1,-0.000866244
NOL7,-0.001446202
CCDC8,-0.001033144
SDSL,-0.002442963
WDFY4,-0.001562123
COPS6,-0.000961441
ZNF462,-0.001780897
FAM20C,-0.001225097
PLXNB1,-0.000799222
CCL27,-0.00113984
IST1,-0.000955109
OR4A5,-0.001129305
SIRT2,-0.001826602
DEPP1,-0.001800514
SEC22B,-0.010623771
HDAC10,-0.000745023
ASCC1,-0.001394874
OPN1SW,-0.000559248
PEX7,-0.00415791
GABRA4,-0.000589938
NXNL1,-0.001278232
CLRN1,-0.001539935
DMRTC1B,-0.001780515
FYCO1,-0.003200855
FAM170A,-0.000960611
ARID4B,-0.000611734
CMAS,-0.005440053
TBCC,-0.001042892
OSER1,-0.001580539
IL17RE,-0.000977791
DDX56,-0.001178873
FSTL3,-0.001614667
ABCB1,-0.002943782
DHX37,-0.000706994
PCLAF,-0.000404852
CASP1,-0.000668419
RAD52,-0.000615796
FNDC3A,-0.001880032
MSTN,-0.001144762
MICB,-0.000625511
CCND2,-0.001554733
TMEM101,-0.000852141
GUCA2B,-0.000956848
ZNF665,-0.001253579
LPAR3,-0.00078347
OR8J3,-0.000557671
SLC25A31,-0.002454345
NUDT4,-0.002154933
SPANXC,-0.000496686
SLC10A6,-0.001002701
S100A13,-0.002325608
PTPRU,-0.00254786
HOXA3,-0.001060033
SCT,-0.001782757
IPMK,-0.002680086
OR52M1,-0.003895109
PDXDC1,-0.000794769
B9D2,-0.000359969
TRNT1,-0.001094332
UNCX,-0.001447454
TNPO3,-0.004159499
ZNF684,-0.003918012
C19orf33,-0.001867349
INTS3,-0.000999936
IRAK4,-0.002774047
MAGEB16,-0.001374184
TRIM62,-0.003207684
INPP1,-0.000998538
THRSP,-0.00161521
LAYN,-0.002663832
ZNRD2,-0.000554652
ADAMTSL4,-0.002906141
CDK5RAP1,-0.001017983
SSNA1,-0.000669287
YIPF7,-0.001173866
PITPNA,-0.001927416
CLEC4A,-0.001373228
OR2A25,-0.000841895
NRGN,-0.000418999
OR56A5,-0.000650394
TAS2R19,-0.002963549
JADE1,-0.001388514
CLPTM1L,-0.000873482
LMCD1,-0.002812319
PDHA2,-0.002147613
GUCY1A2,-0.002731098
TRIM54,-0.003517217
DIO3,-0.001121077
RAB11A,-0.001091365
C1orf109,-0.000930263
APPBP2,-0.000510336
KCND1,-0.001213573
SHISAL2B,-0.001755189
KRTAP21-1,-0.002641909
LPIN1,-0.001669962
ZNF567,-0.000678907
TGS1,-0.005347761
MED26,-0.00234311
TANK,-0.004454805
CORO7,-0.002039129
SLC9A2,-0.007685906
TRAP1,-0.000568017
LRRD1,-0.000590516
KIF4A,-0.001735834
BTG4,-0.000598403
CILP2,-0.001613731
HMX1,-0.001081633
ST6GALNAC1,-0.003726381
C17orf58,-0.000597185
IGFALS,-0.000972424
