GENE	BF
ARHGAP28	-7.018
ARHGAP29	-10.245
ARHGAP30	-2.284
ARHGAP31	-6.565
ARHGAP32	-4.236
ARHGAP33	-9.382
ARHGAP35	-6.875
ARHGAP36	-5.516
ARHGAP39	-8.014
ARHGAP4	-5.159
ARHGAP40	-6.360
ARHGAP42	-8.153
ARHGAP44	-8.150
ARHGAP45	-5.687
ARHGAP5	-2.686
ARHGAP6	-10.659
ARHGAP8	-7.726
ARHGAP9	-7.929
ARHGDIA	-11.815
ARHGDIB	-5.616
ARHGDIG	-10.561
ARHGEF1	-4.232
ARHGEF10	-0.085
ARHGEF10L	-6.423
ARHGEF11	-6.663
ARHGEF12	-8.209
ARHGEF15	-7.174
ARHGEF16	-1.082
ARHGEF17	-9.442
ARHGEF18	-6.041
ARHGEF19	-5.390
ARHGEF2	-1.916
ARHGEF25	-6.339
ARHGEF26	-5.766
ARHGEF28	-5.944
ARHGEF3	-5.318
ARHGEF33	-11.337
ARHGEF35	0.241
ARHGEF37	-3.276
ARHGEF38	-5.741
ARHGEF39	-4.923
ARHGEF4	-9.756
ARHGEF40	-5.440
ARHGEF5	-5.279
ARHGEF6	-10.733
ARHGEF7	-3.992
ARHGEF9	-6.918
ARID1A	-9.486
ARID1B	-6.760
ARID2	-8.192
ARID3A	-2.705
ARID3B	-3.780
ARID3C	-5.796
ARID4A	-9.659
ARID4B	-2.212
ARID5A	-5.670
ARID5B	-6.179
ARIH1	3.465
ARIH2	-10.627
ARIH2OS	-6.191
ARL1	-3.662
ARL10	-6.237
ARL11	-5.439
ARL13A	-3.698
ARL13B	-7.698
ARL14	-5.964
ARL14EP	-6.014
ARL14EPL	0.236
ARL15	-10.866
ARL16	-1.751
ARL17A	-3.339
ARL17B	-10.362
ARL2	-2.581
ARL2BP	-7.105
ARL3	-7.842
ARL4A	-6.521
ARL4C	-1.347
ARL4D	-1.485
ARL5A	-5.175
ARL5B	-4.667
ARL5C	-5.551
ARL6	-5.430
